datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,city
2023-10-15 16:00:00,5,3364.56,28.39,104.19,0.0,11.21,95.58,127.39,34.96,21.5,82.0,18.3,0.0,971.2,3.7,259.0,0,Peshawar
2021-11-22 08:00:00,5,3738.4,11.06,83.63,157.36,19.31,200.34,230.7,20.01,23.9,11.0,-8.4,0.0,973.5,3.2,90.0,595,Peshawar
2024-03-25 03:00:00,5,2536.77,29.5,61.69,13.59,13.59,77.5,114.47,117.54,18.4,51.0,8.1,0.0,975.8,2.8,220.0,222,Peshawar
2022-06-24 18:00:00,5,3685.0,28.39,117.9,0.01,7.33,78.71,107.48,28.12,37.0,16.0,7.0,0.0,940.0,13.1,307.0,308,Islamabad
2023-01-31 20:00:00,5,1308.44,0.0,26.73,87.26,15.97,91.03,126.57,17.23,20.7,40.0,6.6,0.0,1017.9,2.92,38.0,0,Karachi
2023-06-20 00:00:00,5,2883.91,0.26,69.23,13.59,8.11,153.96,176.73,20.77,30.3,69.0,24.1,0.0,973.5,4.1,165.0,0,Lahore
2022-05-13 03:00:00,5,3391.27,42.02,72.66,18.78,18.12,164.13,230.69,44.58,26.8,46.0,14.3,0.0,971.4,7.3,110.0,0,Lahore
2022-07-04 06:00:00,3,774.38,0.76,11.14,144.48,18.84,14.65,15.27,3.55,31.4,56.0,21.5,0.1,941.8,14.3,115.0,8,Islamabad
2023-12-14 19:00:00,5,6034.85,33.97,167.25,0.0,29.8,378.84,464.89,87.14,7.6,73.0,3.1,0.0,978.0,5.4,228.0,0,Peshawar
2021-09-06 23:00:00,5,1001.36,0.0,14.05,49.35,5.54,91.57,100.42,12.67,29.5,78.0,25.2,0.0,979.3,7.4,133.0,0,Lahore
2023-04-05 15:00:00,4,3391.27,50.96,71.97,0.0,7.09,67.99,92.18,34.96,18.2,71.0,12.8,0.0,972.7,3.9,292.0,0,Peshawar
2024-03-07 11:00:00,4,1361.85,8.38,51.41,117.3,30.99,69.78,95.2,10.01,25.8,46.0,13.3,0.0,1016.3,1.62,68.0,725,Karachi
2024-03-15 02:00:00,4,1148.22,0.11,34.96,61.51,6.91,50.22,59.48,25.33,11.4,80.0,8.0,0.0,955.3,4.8,312.0,0,Islamabad
2022-08-31 19:00:00,5,6301.88,175.24,106.93,0.0,18.6,102.03,127.69,77.01,31.5,48.0,19.1,0.0,944.2,8.7,5.0,13,Islamabad
2022-01-08 09:00:00,5,1228.33,3.41,17.65,65.8,29.56,57.19,63.88,4.31,12.2,95.0,11.4,0.2,989.4,6.5,161.0,39,Lahore
2022-04-11 20:00:00,5,313.76,0.0,5.83,90.84,2.8,57.51,143.19,0.38,28.2,75.0,23.3,0.0,1003.7,5.66,226.0,0,Karachi
